"fips","race","sex","TotalSuspensions","TotalEnrollment","Suspension_Rates"
55,3,2,5190,67011,0.0774499709003
55,4,1,1520,24400,0.0622950819672131
55,4,2,490,22718,0.0215688000704287
55,5,1,2632,6870,0.38311499272198
55,5,2,1248,6042,0.206554121151936
55,6,1,100,690,0.144927536231884
55,6,2,40,643,0.0622083981337481
55,7,1,5410,15811,0.342166845866802
55,7,2,2664,14596,0.182515757741847
56,1,1,8064,45793,0.176096783351167
56,1,2,2646,40044,0.0660773149535511
56,2,1,334,739,0.451962110960758
56,2,2,60,612,0.0980392156862745
56,3,1,2006,8769,0.228760405975596
56,3,2,648,7760,0.0835051546391753
56,4,1,72,579,0.124352331606218
56,4,2,44,504,0.0873015873015873
56,5,1,1092,2476,0.441033925686591
56,5,2,566,2141,0.264362447454461
56,6,1,28,148,0.189189189189189
56,6,2,4,132,0.0303030303030303
56,7,1,396,1151,0.344048653344917
56,7,2,84,1099,0.0764331210191083
